comparison_id,x,left_form,right_form,left_value,right_value,agrees_on_sample,interpretation
quadratic_expand_factor,-4,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),2.0,2.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-3,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),-0.0,0.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-2,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),0.0,0.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,-1,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),2.0,2.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,0,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),6.0,6.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,1,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),12.0,12.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,2,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),20.0,20.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,3,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),30.0,30.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,4,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),42.0,42.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,5,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),56.0,56.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,6,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),72.0,72.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,7,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),90.0,90.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,8,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),110.0,110.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,9,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),132.0,132.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
quadratic_expand_factor,10,((x + 2) * (x + 3)),(((x^2) + (5 * x)) + 6),156.0,156.0,True,sampled agreement supports equivalence but symbolic proof establishes identity
