test_type,index_or_value,computed_value,formula_or_property_value,agrees,interpretation
sum_first_n,1,1,1,True,finite evidence; induction proves the theorem
sum_first_n,54,1485,1485,True,finite evidence; induction proves the theorem
sum_first_n,55,1540,1540,True,finite evidence; induction proves the theorem
sum_first_n,56,1596,1596,True,finite evidence; induction proves the theorem
sum_first_n,57,1653,1653,True,finite evidence; induction proves the theorem
sum_first_n,58,1711,1711,True,finite evidence; induction proves the theorem
sum_first_n,59,1770,1770,True,finite evidence; induction proves the theorem
sum_first_n,60,1830,1830,True,finite evidence; induction proves the theorem
sum_first_n,61,1891,1891,True,finite evidence; induction proves the theorem
sum_first_n,62,1953,1953,True,finite evidence; induction proves the theorem
sum_first_n,63,2016,2016,True,finite evidence; induction proves the theorem
sum_first_n,64,2080,2080,True,finite evidence; induction proves the theorem
sum_first_n,65,2145,2145,True,finite evidence; induction proves the theorem
sum_first_n,66,2211,2211,True,finite evidence; induction proves the theorem
sum_first_n,67,2278,2278,True,finite evidence; induction proves the theorem
sum_first_n,68,2346,2346,True,finite evidence; induction proves the theorem
sum_first_n,69,2415,2415,True,finite evidence; induction proves the theorem
sum_first_n,70,2485,2485,True,finite evidence; induction proves the theorem
sum_first_n,71,2556,2556,True,finite evidence; induction proves the theorem
sum_first_n,72,2628,2628,True,finite evidence; induction proves the theorem
sum_first_n,73,2701,2701,True,finite evidence; induction proves the theorem
sum_first_n,74,2775,2775,True,finite evidence; induction proves the theorem
sum_first_n,75,2850,2850,True,finite evidence; induction proves the theorem
sum_first_n,76,2926,2926,True,finite evidence; induction proves the theorem
sum_first_n,77,3003,3003,True,finite evidence; induction proves the theorem
sum_first_n,78,3081,3081,True,finite evidence; induction proves the theorem
sum_first_n,79,3160,3160,True,finite evidence; induction proves the theorem
sum_first_n,80,3240,3240,True,finite evidence; induction proves the theorem
sum_first_n,81,3321,3321,True,finite evidence; induction proves the theorem
sum_first_n,82,3403,3403,True,finite evidence; induction proves the theorem
sum_first_n,83,3486,3486,True,finite evidence; induction proves the theorem
sum_first_n,84,3570,3570,True,finite evidence; induction proves the theorem
sum_first_n,85,3655,3655,True,finite evidence; induction proves the theorem
sum_first_n,86,3741,3741,True,finite evidence; induction proves the theorem
sum_first_n,87,3828,3828,True,finite evidence; induction proves the theorem
sum_first_n,88,3916,3916,True,finite evidence; induction proves the theorem
sum_first_n,89,4005,4005,True,finite evidence; induction proves the theorem
sum_first_n,90,4095,4095,True,finite evidence; induction proves the theorem
sum_first_n,91,4186,4186,True,finite evidence; induction proves the theorem
sum_first_n,92,4278,4278,True,finite evidence; induction proves the theorem
sum_first_n,93,4371,4371,True,finite evidence; induction proves the theorem
sum_first_n,94,4465,4465,True,finite evidence; induction proves the theorem
sum_first_n,95,4560,4560,True,finite evidence; induction proves the theorem
sum_first_n,96,4656,4656,True,finite evidence; induction proves the theorem
sum_first_n,97,4753,4753,True,finite evidence; induction proves the theorem
sum_first_n,98,4851,4851,True,finite evidence; induction proves the theorem
sum_first_n,99,4950,4950,True,finite evidence; induction proves the theorem
sum_first_n,100,5050,5050,True,finite evidence; induction proves the theorem
even_square_property,-50,2500,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-49,2401,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-48,2304,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-47,2209,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-46,2116,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-45,2025,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-44,1936,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-43,1849,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-42,1764,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-41,1681,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-40,1600,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-39,1521,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-38,1444,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-37,1369,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-36,1296,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-35,1225,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-34,1156,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-33,1089,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-32,1024,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-31,961,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-30,900,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-29,841,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-28,784,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-27,729,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-26,676,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-25,625,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-24,576,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-23,529,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-22,484,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-21,441,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-20,400,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-19,361,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-18,324,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-17,289,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-16,256,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-15,225,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-14,196,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-13,169,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-12,144,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-11,121,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-10,100,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-9,81,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-8,64,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-7,49,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-6,36,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-5,25,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-4,16,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-3,9,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-2,4,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,-1,1,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,0,0,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,1,1,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,2,4,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,3,9,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,4,16,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,5,25,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,6,36,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,7,49,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,8,64,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,9,81,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,10,100,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,11,121,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,12,144,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,13,169,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,14,196,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,15,225,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,16,256,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,17,289,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,18,324,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,19,361,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,20,400,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,21,441,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,22,484,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,23,529,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,24,576,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,25,625,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,26,676,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,27,729,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,28,784,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,29,841,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,30,900,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,31,961,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,32,1024,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,33,1089,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,34,1156,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,35,1225,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,36,1296,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,37,1369,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,38,1444,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,39,1521,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,40,1600,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,41,1681,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,42,1764,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,43,1849,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,44,1936,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,45,2025,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,46,2116,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,47,2209,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,48,2304,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,49,2401,even square property,True,finite evidence; direct proof establishes the lemma
even_square_property,50,2500,even square property,True,finite evidence; direct proof establishes the lemma
